account number,SYMBOL,Invest to,,,,FACTOR
987654585,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654586,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654587,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654588,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654589,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654590,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654591,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654592,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654593,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654594,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654595,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654596,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654597,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654598,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654599,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654600,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654601,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654602,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654603,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654604,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654605,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654606,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654607,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654608,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654609,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654610,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654611,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654612,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654613,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654614,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654615,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654616,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654617,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654618,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654619,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654620,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654621,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654622,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654623,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654624,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654625,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654626,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654627,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654628,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654629,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654630,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654631,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654632,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654633,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654634,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654635,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654636,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654637,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654638,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654639,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
